time y_true y_pred u u_adv
0 0.8904557273403733 -0.05639354 0.8387715229696521 0.8487715
1 0.972172983036349 -0.056606635 0.8564590634128069 0.8664591
2 1.0504512504976082 -0.056827307 0.8732664887667168 0.8832665
3 1.1256301308529888 -0.057054065 0.8891557965605892 0.8991558
4 1.1979789325632975 -0.057285145 0.9040913905356044 0.9140914
5 1.2677062060529813 -0.055742122 0.9180401501157187 0.92804015
6 1.3349682136051482 -0.05604773 0.9309714932607593 0.9409715
7 1.3998764025153974 -0.056221776 0.9428574326205218 0.95285743
8 1.4625039676454883 -0.056410916 0.9536726249259866 0.96367264
9 1.5228915963811889 -0.056613207 0.9633944135710799 0.9733944
10 1.5810524889365616 -0.056824476 0.9720028643555725 0.98200285
11 1.6369767427625275 -0.057041682 0.9794807943766975 0.9894808
12 1.6906351833332507 -0.05726292 0.9858137940738403 0.9958138
13 1.7419827159849899 -0.057486758 0.990990242447163 1.0009903
14 1.790961265531283 -0.05771228 0.9950013154872525 1.0050013
15 1.837502362554197 -0.0670457 0.9978409878687642 1.007841
16 1.8815294278607393 -0.066757366 0.999506027976578 1.0095061
17 1.9229597997540508 -0.06652811 0.9999959863481094 1.009996
18 1.9617065425724947 -0.066449404 0.9993131776301425 1.0093132
19 1.997680069411882 -0.06647448 0.9974626561628113 1.0074626
20 2.030789607047318 -0.066569105 0.994452185317139 1.0044522
21 2.0609445267709288 -0.06670979 0.9902922007258275 1.0002922
22 2.0880555611081513 -0.06688112 0.9849957675597354 0.9949958
23 2.1120359231118386 -0.06707267 0.9785785320146864 0.9885785
24 2.1328023421029005 -0.06727757 0.9710586671848775 0.98105866
25 2.1502760272737453 -0.083761394 0.9624568135101963 0.9724568
26 2.164383568444944 -0.082467794 0.9527960139951899 0.96279603
27 2.175057781419603 -0.08149375 0.9421016444072416 0.95210165
28 2.1822385037718077 -0.08094033 0.9304013386706882 0.9404013
29 2.1858733454979107 -0.08067682 0.917724909682143 0.9277249
30 2.1859183977197514 -0.08060692 0.9041042657801667 0.9141043
31 2.1823389015286256 -0.08066577 0.889573323109641 0.8995733
32 2.1751098780735956 -0.08081016 0.874167914127743 0.8841679
33 2.1642167201066203 -0.081011295 0.8579256925042895 0.8679257
34 2.1496557443824864 -0.08124976 0.840886034674408 0.85088605
35 2.1314347035590724 -0.10543956 0.8230899383060115 0.83308995
36 2.109573255541386 -0.104245454 0.804579917948385 0.8145799
37 2.0841033875521133 -0.10347747 0.7853998981313572 0.7953999
38 2.0550697915855847 -0.10307279 0.7655951041870162 0.77559507
39 2.0225301873073698 -0.102923416 0.7452119510677521 0.75521195
40 1.9865555878969237 -0.10295258 0.7242979304355741 0.73429793
41 1.9472305037974107 -0.103106834 0.7029014962981533 0.7129015
42 1.904653078839607 -0.10334925 0.6810719494669206 0.6910719
43 1.8589351527533473 -0.10365386 0.6588593211117737 0.6688593
44 1.8102022436815877 -0.10400285 0.6363142556855731 0.64631426
45 1.758593443983759 -0.11743305 0.6134878934896143 0.6234879
46 1.70426122237592 -0.11697732 0.5904317531486774 0.60043174
47 1.647371125328612 -0.11650632 0.5671976142611105 0.5771976
48 1.5881013706573972 -0.11605035 0.543837400485663 0.5538374
49 1.526642326428482 -0.11560084 0.5204030633225599 0.5304031
50 1.4631958686995017 -0.1151514 0.4969464668414842 0.50694644
51 1.3979746122645553 -0.114697345 0.4735192736038926 0.48351926
52 1.331201009516703 -0.11423516 0.4501728320212771 0.46017283
53 1.2631063138257628 -0.11376242 0.4269580653847873 0.43695804
54 1.193929405498752 -0.11327705 0.4039253627949378 0.41392535
55 1.1239154804854357 -0.12458136 0.38112447221302775 0.39112446
56 1.0533146045446407 -0.12436531 0.3586043958484335 0.3686044
57 0.9823801386179626 -0.12409418 0.33641328808805043 0.34641328
58 0.9113670446667 -0.12380055 0.3145983561659714 0.32459834
59 0.8405300851896228 -0.1234885 0.29320576376294133 0.30320576
60 0.7701219339945689 -0.123162806 0.27228053771630556 0.28228053
61 0.7003912204458358 -0.12282716 0.2518664780120543 0.26186648
62 0.6315805342046316 -0.12248446 0.23200607122120748 0.24200608
63 0.5639244222224448 -0.12213664 0.21274040753320522 0.22274041
64 0.4976474141853191 -0.12178554 0.1941091015291737 0.2041091
65 0.4329621164403205 -0.12479795 0.1761502168279886 0.18615022
66 0.37006741732560333 -0.12465366 0.15890019472793476 0.1689002
67 0.3091468484146708 -0.12446365 0.1423937869565381 0.15239379
68 0.2503671461234464 -0.1242059 0.1266639926307916 0.136664
69 0.19387705610784672 -0.12388577 0.11174199951960129 0.121741995
70 0.13980641867520077 -0.12351208 0.0976571296897965 0.10765713
71 0.08826556694678375 -0.12309101 0.08443678960656648 0.09443679
72 0.03934506080829433 -0.12262725 0.07210642474867879 0.08210643
73 -0.006884230967764412 -0.12213582 0.06068947878835412 0.07068948
74 -0.050370700181514245 -0.121648796 0.05020735737523907 0.06020736
75 -0.09108123296289902 -0.122910865 0.04067939655353253 0.050679393
76 -0.12900013351784143 -0.12281969 0.032122835831036645 0.022122836
77 -0.1641277756480892 -0.12267948 0.02455279590870979 0.014552796
78 -0.19647903015361526 -0.12246603 0.01798226106924905 0.0079822615
79 -0.22608152400032278 -0.122186854 0.012422066213302607 0.0024220664
80 -0.2529737917806573 -0.12185194 0.007880888522174334 -0.002119111
81 -0.2772033812079509 -0.1214692 0.0043652437163130275 -0.005634756
82 -0.29882497217966425 -0.121043965 0.0018794868695116707 -0.008120513
83 -0.31789856364474695 -0.12057994 0.00042581772960342823 -0.009574182
84 -0.33448777470603114 -0.120079935 4.290487521096953e-06 -0.009995709
85 -0.3486582968539919 -0.119773135 0.0006128279279306592 -0.009387172
86 -0.3604765238205168 -0.119663045 0.002247239886249197 -0.00775276
87 -0.3700083750971494 -0.119512886 0.004901245928737752 -0.005098754
88 -0.3773183194086168 -0.11929682 0.008566502164530865 -0.0014334973
89 -0.38246859592399207 -0.11902081 0.013232632090939889 0.0032326328
90 -0.3855186240765697 -0.11869379 0.018887261366150876 0.008887261
91 -0.38652458769958253 -0.118322745 0.025516056396556075 0.015516056
92 -0.38553917574254803 -0.1179122 0.03310276661939793 0.023102766
93 -0.38261145995238766 -0.117465824 0.04162927035519692 0.03162927
94 -0.377786889338387 -0.1169859 0.05107562409856925 0.041075625
95 -0.3711073817038605 -0.117710054 0.061420115110539686 0.051420115
96 -0.362611493730805 -0.11759204 0.07263931717030447 0.06263932
97 -0.35233465278243703 -0.11743379 0.08470814933963283 0.07470815
98 -0.3403094355191269 -0.11721994 0.0975999375886849 0.08759994
99 -0.32656588043089907 -0.11695475 0.11128647912799694 0.10128648
100 -0.3111318233472864 -0.116645575 0.12573810928774193 0.115738116
101 -0.29403324680876236 -0.116298 0.14092377078207963 0.13092376
102 -0.2752946358244241 -0.115915805 0.15681108519354997 0.14681108
103 -0.25493933397652085 -0.11550169 0.1733664265099194 0.16336642
104 -0.23298989506161602 -0.11505754 0.19055499654377572 0.18055499
105 -0.20946842649125264 -0.1166905 0.20834090206340883 0.1983409
106 -0.18439692152995993 -0.11657367 0.22668723346212033 0.21668723
107 -0.1577975781468746 -0.11641422 0.2455561447921185 0.23555614
108 -0.1296931028215029 -0.11620805 0.2649089349884871 0.25490895
109 -0.1001069980956481 -0.115965694 0.2847061301084622 0.2947061
110 -0.06906383302180945 -0.11568499 0.30490756641131844 0.31490755
111 -0.036589495940515145 -0.115370825 0.325472474104604 0.33547246
112 -0.0027114292397678696 -0.115026094 0.34635956158324227 0.35635954
113 0.0325411540787164 -0.114653066 0.367527099989133 0.3775271
114 0.06913707206939827 -0.11428645 0.3889330079203497 0.398933
115 0.10704299369035299 -0.11734127 0.41053493612077696 0.42053494
116 0.14622327669245025 -0.11727163 0.4322903519831498 0.44229034
117 0.18663982335625348 -0.11714943 0.4541566237008249 0.46415663
118 0.22825195383918587 -0.116984874 0.4760911039063213 0.4860911
119 0.2710162968635757 -0.11678116 0.49805121263762003 0.5080512
120 0.31488669745313097 -0.11654331 0.5199945194764961 0.5299945
121 0.3598141414091376 -0.116275445 0.54187882470663 0.5518788
122 0.4057466962066412 -0.11598035 0.5636622393430425 0.5736622
123 0.45262946798377757 -0.11569305 0.5853032638884013 0.59530324
124 0.5004045742932589 -0.11542477 0.6067608656759608 0.61676085
125 0.5490111322830785 -0.118624866 0.6279945546633995 0.6379945
126 0.598385261973073 -0.11865009 0.6489644575464287 0.65896446
127 0.6484601042946827 -0.118609935 0.6696313900659477 0.67963135
128 0.6991658535626281 -0.11852557 0.6899569273875189 0.6999569
129 0.7504298040490311 -0.11840093 0.7099034724371637 0.71990347
130 0.8021764103324662 -0.11824228 0.7294343220828281 0.7394343
131 0.8543273610963542 -0.11805409 0.7485137310563615 0.75851375
132 0.9068016660528826 -0.117839485 0.7671069735164913 0.77710694
133 0.9595157556700712 -0.1176299 0.7851804021590088 0.7951804
