time y_true y_pred u u_adv
0 0.8706113413597942 0.7856335 0.8387715229696521 0.82877153
1 0.9503141521333128 0.78559506 0.8564590634128069 0.8464591
2 1.0266382375877188 0.78555644 0.8732664887667168 0.8632665
3 1.09991718090169 0.78551763 0.8891557965605892 0.8791558
4 1.1704161234574026 0.785479 0.9040913905356044 0.8940914
5 1.2383409939754435 0.8328758 0.9180401501157187 0.90804017
6 1.3038467179621165 0.8331631 0.9309714932607593 0.9209715
7 1.3670444697802175 0.83299536 0.9428574326205218 0.93285745
8 1.4280080480276451 0.8327864 0.9536726249259866 0.94367266
9 1.4867794622017425 0.8325811 0.9633944135710799 0.9533944
10 1.5433738190883586 0.83238643 0.9720028643555725 0.9620029
11 1.5977835936790312 0.8322018 0.9794807943766975 0.9694808
12 1.6499823634697275 0.83202666 0.9858137940738403 0.9758138
13 1.699928077893004 0.83186 0.990990242447163 0.98099023
14 1.7475659271336983 0.83170134 0.9950013154872525 0.9850013
15 1.7928308671509223 0.93632275 0.9978409878687642 0.987841
16 1.8356498506634817 0.9368418 0.999506027976578 1.0095061
17 1.875943807312713 0.9364776 0.9999959863481094 1.009996
18 1.9136294102722498 0.9360426 0.9993131776301425 1.0093132
19 1.9486206612492456 0.935618 0.9974626561628113 1.0074626
20 1.9808303211015603 0.9352122 0.994452185317139 1.0044522
21 2.0101712091446826 0.9348244 0.9902922007258275 1.0002922
22 2.0365573905933494 0.9344533 0.9849957675597354 0.9949958
23 2.059905268423302 0.9340964 0.9785785320146864 0.9885785
24 2.080134593194789 0.93375283 0.9710586671848775 0.98105866
25 2.097169401999363 1.0702262 0.9624568135101963 0.9724568
26 2.1109388956264743 1.0709153 0.9527960139951899 0.96279603
27 2.1213782612517016 1.0705425 0.9421016444072416 0.95210165
28 2.12842944638404 1.0700841 0.9304013386706882 0.9404013
29 2.132041888439718 1.0696371 0.917724909682143 0.9277249
30 2.1321732031031813 1.0692116 0.9041042657801667 0.9141043
31 2.1287898335648427 1.0688069 0.889573323109641 0.8995733
32 2.1218676617663657 1.0684204 0.874167914127743 0.8841679
33 2.1113925819175283 1.0680509 0.8579256925042895 0.8679257
34 2.0973610357571832 1.067696 0.840886034674408 0.85088605
35 2.079780508300376 1.1885989 0.8230899383060115 0.83308995
36 2.0586699821331056 1.1893853 0.804579917948385 0.7945799
37 2.034060347676698 1.1892513 0.7853998981313572 0.7753999
38 2.0059947662391235 1.1890335 0.7655951041870162 0.7555951
39 1.974528982097097 1.1888177 0.7452119510677521 0.73521197
40 1.9397315793092973 1.188615 0.7242979304355741 0.71429795
41 1.901684178448992 1.1884252 0.7029014962981533 0.6929015
42 1.8604815679680764 1.188248 0.6810719494669206 0.67107195
43 1.8162317644714483 1.1880813 0.6588593211117737 0.6488593
44 1.769055995801428 1.1879249 0.6363142556855731 0.6263143
45 1.7190886005208845 1.2477695 0.6134878934896143 0.6034879
46 1.666476837159083 1.2480721 0.5904317531486774 0.58043176
47 1.6113805964683297 1.2480296 0.5671976142611105 0.55719763
48 1.5539720099588763 1.2479646 0.543837400485663 0.53383744
49 1.4944349481652384 1.2479031 0.5204030633225599 0.5104031
50 1.4329644024841184 1.2478464 0.4969464668414842 0.48694646
51 1.369765745051204 1.2477937 0.4735192736038926 0.46351928
52 1.3050538620326526 1.2477446 0.4501728320212771 0.44017285
53 1.239052156939693 1.2477 0.4269580653847873 0.43695804
54 1.1719914221732044 1.2476579 0.4039253627949378 0.41392535
55 1.1041085790073417 1.2325635 0.38112447221302775 0.39112446
56 1.0356452886575 1.2324005 0.3586043958484335 0.3686044
57 0.9668464399660216 1.232334 0.33641328808805043 0.34641328
58 0.8979585225787691 1.2322754 0.3145983561659714 0.32459834
59 0.8292278982521042 1.2322179 0.29320576376294133 0.30320576
60 0.7608989870664394 1.2321606 0.27228053771630556 0.28228053
61 0.6932123897344614 1.2321033 0.2518664780120543 0.26186648
62 0.6264029717400601 1.2320467 0.23200607122120748 0.24200608
63 0.5606979395400873 1.2319905 0.21274040753320522 0.22274041
64 0.4963149432682884 1.2319349 0.1941091015291737 0.2041091
65 0.43346024401662814 1.1055559 0.1761502168279886 0.18615022
66 0.3723269865158899 1.1052392 0.15890019472793476 0.1689002
67 0.3130936195590318 1.105099 0.1423937869565381 0.15239379
68 0.2559225064784101 1.1049781 0.1266639926307916 0.136664
69 0.20095876611236788 1.1048626 0.11174199951960129 0.121741995
70 0.14832938076595564 1.1047379 0.0976571296897965 0.10765713
71 0.09814260159023577 1.1046096 0.08443678960656648 0.09443679
72 0.05048767363433527 1.1044883 0.07210642474867879 0.08210643
73 0.00543489280495337 1.1043733 0.06068947878835412 0.07068948
74 -0.03696400446785566 1.104264 0.05020735737523907 0.06020736
75 -0.07667513029908175 0.8808412 0.04067939655353253 0.050679393
76 -0.1136814368784324 0.88204724 0.032122835831036645 0.042122833
77 -0.1479814456861636 0.88198406 0.02455279590870979 0.034552798
78 -0.17958775949519865 0.8817666 0.01798226106924905 0.027982261
79 -0.20852540977391917 0.8815288 0.012422066213302607 0.022422066
80 -0.2348300967027412 0.8812919 0.007880888522174334 0.017880889
81 -0.2585463804003543 0.8810603 0.0043652437163130275 0.014365244
82 -0.2797258801143071 0.8808344 0.0018794868695116707 0.011879487
83 -0.29842553334924904 0.880614 0.00042581772960342823 0.010425817
84 -0.3147059597195221 0.88039917 4.290487521096953e-06 0.01000429
85 -0.3286299654338532 0.649197 0.0006128279279306592 0.010612828
86 -0.3402612145467206 0.6500322 0.002247239886249197 0.01224724
87 -0.34966308323063716 0.64976484 0.004901245928737752 0.014901245
88 -0.3568977040279576 0.649425 0.008566502164530865 0.018566502
89 -0.362025198866059 0.6490942 0.013232632090939889 0.023232631
90 -0.3651030929152255 0.6487795 0.018887261366150876 0.02888726
91 -0.3661858962949236 0.64848083 0.025516056396556075 0.035516053
92 -0.365324837185122 0.6481969 0.03310276661939793 0.043102764
