time y_true y_pred u u_adv diff_y diff_u
71 0.16685808912403322 1.4521224 0.8164129471199524 0.716413 -1.2852643607508447 -0.0999999260323059
72 -0.3669011708614941 1.4519541 0.9090122869315391 0.80901235 -1.8188552972195264 -0.09999993351128156
73 -0.7191388142681148 1.4517837 0.8033575437371139 0.70335764 -2.1709224713420894 -0.09999990680855553
74 -0.9125295958386234 1.4516025 0.817787167661124 0.71778727 -2.364132054792481 -0.09999990188353614
75 -1.0284586804213127 -1.0228341 0.8396773280954791 0.7396774 -0.005624617845018776 -0.09999989889626038
76 -1.1033374507803058 -1.0227087 0.2553837393764576 0.15538368 -0.08062879637661924 -0.1000000630859455
77 -1.0356111772479029 -1.0226386 0.2499356508695129 0.1499356 -0.012972617906472195 -0.10000004772772822
78 -0.9577295551748223 -1.0226122 0.23389699091812294 0.3338969 0.06488265891361766 0.09999991426566918
79 -0.892956622577533 -1.0226111 0.2623984280694583 0.36239833 0.12965451862730093 0.09999989832748385
80 -0.8555809317545918 -1.0226264 0.26262518610224134 0.3626251 0.16704546823930466 0.09999990616574878
81 -0.8315126636949107 -1.0226536 0.26358918919097674 0.3635891 0.19114091601700334 0.09999991879928816
82 -0.815357836282177 -1.0226912 0.2875619952046385 0.3875619 0.20733341356523516 0.0999998922980318
83 -0.8127049635596755 -1.0227435 0.45230698528473257 0.5523069 0.21003849995655988 0.09999990520293833
84 -0.8618574892264784 -1.0228033 0.4762188602293925 0.5762188 0.16094581735311142 0.0999999236260457
85 -0.9099540630969996 -0.9324134 0.5097761704142069 0.6097761 0.022459336122513385 0.09999990924048674
86 -0.9515095864162516 -0.9327518 0.4825701913953391 0.3825703 -0.018757811628348775 -0.09999989486938388
87 -0.9744178426597414 -0.9330719 0.4808777472993567 0.38087785 -0.04134593132474995 -0.0999998948594763
88 -0.9882686793949054 -0.93338513 0.5209585272533416 0.42095864 -0.05488354565161924 -0.09999988906211843
89 -1.0063796952952972 -0.9336838 0.47237236244780817 0.37237245 -0.07269588267704163 -0.09999991400344171
90 -1.0095610913759363 -0.93400866 1.3773145434970788 1.2773147 -0.07555243344365481 -0.09999988056372922
91 -1.14896546993032 -0.9343228 1.4232431648019161 1.3232433 -0.2146426955200722 -0.09999990441831019
92 -1.2524091252092489 -0.93462217 1.4164923390195816 1.3164924 -0.31778695666829426 -0.09999990070323639
93 -1.3097469918108868 -0.9349067 1.3560829424501817 1.256083 -0.3748402706957745 -0.09999993082298442
94 -1.3380242293476214 -0.9351849 1.4407919675541405 1.3407921 -0.4028393333553424 -0.09999990765576405
95 -1.358245499629077 -1.3441403 1.4065663807218414 1.3065665 -0.014105208415087667 -0.09999990389994196
96 -1.3693154634893077 -1.3442383 1.411719436099797 1.3117195 -0.02507718223930766 -0.09999989931848607
97 -1.3760618938110278 -1.344264 -0.4963737590131881 -0.5963737 -0.03179786335448487 -0.09999991824053506
98 -1.0493545550623464 -1.3442943 -0.5209457056739024 -0.42094582 0.29493975455374244 0.09999988248130598
99 -0.5028949139645859 -1.344322 -0.47158700257087477 -0.3715871 0.8414270522066788 0.09999990492606886
100 -0.058201173761442224 -1.3443427 -0.5027012575357741 -0.40270138 1.2861415348262042 0.09999987966712176
101 0.26740954078413914 -1.3443565 -0.5173525699246981 -0.41735268 1.6117660776493734 0.09999989353309657
102 0.49497375760995554 -1.3443649 -0.5282940026689106 -0.42829412 1.8393386391254585 0.09999988044982488
103 0.6512082441329312 -1.3443692 -0.49907103534998554 -0.39907113 1.995577417182858 0.09999990817370075
104 0.7427983519438593 -1.3455234 -2.7471350531611787 -2.847135 2.088321709335217 -0.10000001382490531
105 1.4847495981627818 1.4730587 -2.7572173489514755 -2.8572173 0.01169089760125841 -0.09999996290765534
106 1.5616145228320704 1.4754317 -2.7422518228371424 -2.642252 0.08618284215274907 0.09999985445335335
107 1.3088345525547622 1.477694 -2.7423873399854406 -2.8423872 -0.1688594820216538 -0.09999985941641487
108 1.0396699412975654 1.4798617 -2.7618688182397473 -2.8618686 -0.440191795000042 -0.09999980167907596
109 0.8278706072719414 1.4819307 -2.737408459008271 -2.8374083 -0.6540601254551094 -0.09999984520620675
110 0.6877335007285634 1.4839122 -2.7672995106139844 -2.8672993 -0.7961787288094004 -0.09999980769961425
111 0.586261511301062 1.4857152 -1.2073438542585693 -1.3073437 -0.8994536395320679 -0.09999986713120124
112 0.9941934988867975 1.4874251 -1.201875313030004 -1.3018752 -0.49323158999564876 -0.09999992062020358
